t,x_m,theta,v_m_s,thetadot,u_pwm
1764425657.6114824,0.14140625,0.13,0.01609375,0.001,10
1764425657.6209,0.1414453125,0.13,0.007929687500000001,0.0,8
1764425657.6324809,0.1414453125,0.13,0.0019921875,-0.153,14
1764425657.6418872,0.1414453125,0.13,0.0005078125,-0.038,9
1764425657.6514666,0.141484375,0.13,0.004140625,-0.019,8
1764425657.6608863,0.141640625,0.13,0.0083203125,-0.002,9
1764425657.670467,0.141640625,0.13,0.0020703125,-0.077,11
1764425657.680887,0.141640625,0.13,0.0005078125,-0.096,11
1764425657.690904,0.1416796875,0.13,0.0020703125,-0.177,16
1764425657.7024808,0.14179687500000002,0.13,0.0083203125,-0.044,11
1764425657.7124817,0.14203125,0.13,0.0196484375,-0.088,15
1764425657.7224796,0.1423828125,0.13,0.0303125,-0.022,14
1764425657.7324665,0.1425390625,0.13,0.03078125,-0.011,14
1764425657.7424655,0.1432421875,0.13,0.04484375,-0.001,17
1764425657.7524672,0.143671875,0.13,0.044414062500000004,-0.0,17
1764425657.7629025,0.1441015625,0.12,0.044296875,-0.153,28
1764425657.7729042,0.144296875,0.12,0.0416796875,-0.077,24
1764425657.782906,0.1451171875,0.12,0.060859375,-0.01,25
1764425657.792903,0.14609375,0.13,0.08945312500000001,0.074,24
1764425657.8029048,0.147265625,0.13,0.110234375,0.095,28
1764425657.812903,0.1478125,0.13,0.1098046875,0.201,22
1764425657.8249032,0.149375,0.13,0.106484375,0.255,19
1764425657.834905,0.1505078125,0.13,0.110625,0.217,22
1764425657.844903,0.15140625,0.13,0.09406250000000001,0.208,19
1764425657.855486,0.152109375,0.13,0.07625,0.052,24
1764425657.8659034,0.1525,0.13,0.0771875,0.026,25
1764425657.8764822,0.15328125,0.14,0.077890625,0.083,19
1764425657.886484,0.1546875,0.14,0.09371093750000001,0.202,17
1764425657.896484,0.15519531250000002,0.14,0.09765625,0.254,15
1764425657.9064848,0.1562109375,0.14,0.0986328125,0.217,18
1764425657.9164848,0.15742187500000002,0.14,0.07875,0.104,19
1764425657.9264834,0.157890625,0.14,0.054843750000000004,0.026,18
1764425657.9364817,0.1583203125,0.15,0.0449609375,0.16,6
1764425657.9465194,0.15859375,0.15,0.0498046875,0.08,11
1764425657.9564846,0.159453125,0.15,0.0530859375,0.01,15
1764425657.9664848,0.159609375,0.15,0.0421875,0.005,13
1764425657.9829047,0.16035156250000002,0.15,0.03109375,0.0,11
