x,theta,v,thetadot
<-21,2.80,0,2.574>
<-21,2.78,0,2.331>
<-21,2.76,0,2.117>
<-21,2.74,0,2.132>
<-21,2.72,0,1.990>
<-21,2.70,0,1.629>
<-21,2.69,0,1.404>
<-21,2.67,0,1.271>
<-21,2.66,0,1.008>
<-21,2.66,0,0.964>
<-21,2.65,0,0.542>
<-21,2.65,0,0.442>
<-21,2.64,0,0.264>
<-21,2.65,0,-0.087>
<-21,2.65,0,-0.252>
<-21,2.65,0,-0.446>
<-21,2.66,0,-0.572>
<-21,2.66,0,-0.746>
<-21,2.68,0,-0.937>
<-21,2.69,0,-1.078>
<-21,2.70,0,-1.306>
<-21,2.72,0,-1.467>
<-21,2.73,0,-1.517>
<-21,2.74,0,-1.679>
<-21,2.77,0,-1.974>
<-21,2.78,0,-1.907>
<-21,2.80,0,-2.088>
<-21,2.84,0,-2.217>
<-21,2.86,0,-2.242>
<-21,2.89,0,-2.478>
<-21,2.91,0,-2.614>
<-21,2.94,0,-2.648>
<-21,2.96,0,-2.656>
<-21,2.99,0,-2.658>
<-21,3.02,0,-2.889>
<-21,3.03,0,-2.825>
<-21,3.08,0,-2.807>
<-21,3.11,0,-2.926>
<-21,3.12,0,-2.844>
<-21,3.16,0,-2.848>
<-21,3.19,0,-2.783>
<-21,3.20,0,-2.772>
<-21,3.25,0,-2.763>
<-21,3.26,0,-2.762>
<-21,3.30,0,-2.531>
<-21,3.32,0,-2.550>
<-21,3.35,0,-2.325>
<-21,3.37,0,-2.422>
<-21,3.39,0,-2.216>
<-21,3.40,0,-2.182>
<-21,3.43,0,-2.156>
<-21,3.45,0,-1.880>
<-21,3.47,0,-1.697>
<-21,3.48,0,-1.616>
<-21,3.50,0,-1.352>
<-21,3.51,0,-1.182>
<-21,3.52,0,-1.062>
<-21,3.53,0,-0.879>
<-21,3.54,0,-0.757>
<-21,3.55,0,-0.649>
<-21,3.55,0,-0.392>
<-21,3.55,0,-0.328>
<-21,3.55,0,-0.082>
<-21,3.55,0,-0.041>
<-21,3.55,0,0.263>
<-21,3.54,0,0.296>
<-21,3.54,0,0.455>
<-21,3.53,0,0.747>
<-21,3.53,0,0.680>
<-21,3.51,0,0.929>
<-21,3.50,0,1.076>
<-21,3.49,0,1.152>
<-21,3.48,0,1.208>
<-21,3.46,0,1.417>
<-21,3.45,0,1.475>
<-21,3.44,0,1.673>
<-21,3.42,0,1.722>
<-21,3.39,0,1.826>
<-21,3.38,0,1.833>
<-21,3.36,0,1.916>
<-21,3.33,0,1.888>
<-21,3.31,0,2.006>
<-21,3.29,0,2.112>
<-21,3.27,0,2.215>
<-21,3.25,0,2.165>
<-21,3.24,0,2.156>
<-21,3.21,0,2.226>
<-21,3.18,0,2.311>
<-21,3.17,0,2.229>
<-21,3.13,0,2.311>
<-21,3.11,0,2.188>
<-21,3.09,0,2.158>
<-21,3.07,0,1.997>
<-21,3.05,0,2.110>
<-21,3.04,0,1.975>
<-21,3.01,0,1.896>
<-21,2.99,0,1.855>
<-21,2.98,0,1.848>
<-21,2.96,0,1.612>
<-21,2.95,0,1.573>
<-21,2.94,0,1.467>
<-21,2.91,0,1.449>
<-21,2.91,0,1.338>
<-21,2.89,0,1.164>
<-21,2.88,0,0.981>
<-21,2.87,0,0.936>
<-21,2.87,0,0.694>
<-21,2.86,0,0.634>
<-21,2.86,0,0.465>
<-21,2.85,0,0.386>
<-21,2.85,0,0.163>
<-21,2.85,0,0.118>
